date,description,category,type
2024-11-03,Langganan Netflix bulanan,Entertainment,expense
2025-02-24,Beli tiket konser musik,Entertainment,expense
2024-12-13,Beli kopi di Starbucks,Food & Dining,expense
2024-12-05,Langganan Spotify Premium,Entertainment,expense
2024-11-07,Parkir di Mall Kelapa Gading,Transportation,expense
2025-02-10,Gaji Bulanan PT Astra,Salary,income
2025-08-26,Beli jajanan di Indomaret,Food & Dining,expense
2025-01-31,Pendapatan tambahan dari klien,Salary,income
2025-05-24,Langganan Spotify Premium,Entertainment,expense
2025-08-19,Dinner di restoran Jepang,Food & Dining,expense
2025-01-11,Beli sepatu di Tokopedia,Shopping,expense
2025-04-14,Beli game di Steam,Entertainment,expense
2025-02-09,Belanja baju di H&M,Shopping,expense
2024-12-13,Cek kesehatan di RS Hermina,Health & Medical,expense
2024-12-10,Gaji proyek freelance,Salary,income
2025-08-27,Beli gadget di Shopee,Shopping,expense
2025-06-14,Beli sepatu di Tokopedia,Shopping,expense
2025-05-03,Naik Gojek ke kantor,Transportation,expense
2025-03-21,Pendapatan tambahan dari klien,Salary,income
2025-04-25,Tes antigen di klinik terdekat,Health & Medical,expense
2025-10-17,Isi bensin di SPBU Pertamina,Transportation,expense
2025-09-25,Gaji Bulanan PT Astra,Salary,income
2024-12-01,Pesan makanan lewat GoFood,Food & Dining,expense
2024-12-12,Biaya konsultasi dokter umum,Health & Medical,expense
2025-06-11,Top up pulsa Telkomsel,Bills & Utilities,expense
2025-01-13,Beli tiket konser musik,Entertainment,expense
2025-02-06,Beli gadget di Shopee,Shopping,expense
2025-10-16,Beli tiket konser musik,Entertainment,expense
2025-08-29,Langganan Netflix bulanan,Entertainment,expense
2025-07-22,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-01-13,Nonton di XXI Mall of Indonesia,Entertainment,expense
2025-03-09,Langganan internet Indihome,Bills & Utilities,expense
2025-02-11,Langganan Spotify Premium,Entertainment,expense
2024-11-19,Beli tiket konser musik,Entertainment,expense
